Project1_Results

bubbleSort
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
16384,8741.3,16384,4859.9,16384,7117.9,16384,13471.8,16384,7675.9,
32768,20279.3,32768,8786.6,32768,14016.9,32768,22685.6,32768,14243.4,

bucketSort
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
4,20.2,4,27.3,4,22.7,4,218.6,4,27.5,
8,7.0,8,6.1,8,7.3,8,11.4,8,11.7,
16,13.0,16,8.8,16,10.5,16,15.6,16,10.9,
32,20.8,32,16.0,32,19.2,32,36.0,32,18.2,
64,109.6,64,39.2,64,53.5,64,71.4,64,48.9,
128,66.4,128,62.2,128,80.9,128,97.0,128,86.9,
256,67.0,256,63.3,256,85.6,256,224.6,256,115.2,
512,89.5,512,154.8,512,116.7,512,381.9,512,113.6,
1024,184.3,1024,200.9,1024,244.5,1024,786.9,1024,229.8,
2048,335.9,2048,379.2,2048,385.9,2048,1253.0,2048,468.0,
4096,735.3,4096,723.8,4096,722.9,4096,2066.3,4096,931.0,
8192,1490.8,8192,1392.3,8192,1498.4,8192,3467.1,8192,1950.1,
16384,3049.1,16384,3466.4,16384,3178.4,16384,4532.8,16384,3985.1,
32768,7324.4,32768,9338.9,32768,6644.8,32768,11684.6,32768,10384.6,

